Date,Artist,Song Name,Video,Type,Release
1/26/21,Kyuhyun,Moving On,https://youtu.be/gXwVNwdOFhk,Boy Solo,Major
1/26/21,Dreamcatcher,Odd Eye,https://youtu.be/1QD0FeZyDtQ,Girl,Major
1/25/21,Golden Child,Burn,https://youtu.be/lDWM2QnPPAY,Boy,Major
1/25/21,U-Know,Eeny Meeny,https://youtu.be/2gvbKJYWaRA,Boy Solo,Major
1/25/21,BOBBY,U MAD,https://youtu.be/DGXbNENEpwM,Boy Solo,Major
1/22/21,Saturday,Only You,https://youtu.be/zUegKQAR9ps,Girl,Minor
1/21/21,Pink Fantasy,Lemon Candy,https://youtu.be/lKrB5ZKzNUY,Girl,Minor
1/20/21,Cherry Bullet,Love So Sweet,https://youtu.be/9OZPwJdl_4w,Girl,Major
1/19/21,Mamamoo,Dingga -Japanese ver.-,https://youtu.be/BLg_uXvSj-8,Girl,Japanese
1/19/21,TXT,Blue Hour Japanese Ver.,https://youtu.be/RuGE7rhuT14,Boy,Japanese
1/19/21,Berry Good,Time for Me,https://youtu.be/8nDhZCBTN_E,Girl,Major
1/19/21,Cravity,My Turn,https://youtu.be/IrnhtBxHDBY,Boy,Major
1/19/21,Chungha,X,https://youtu.be/jPe160muXf0,Girl Solo,Minor
1/19/21,Oneus,No Diggity,https://youtu.be/QPLiY3TGa3I,Boy,Major
1/18/21,Epik High,"Rosario ft. CL, ZICO",https://youtu.be/FCsLikmxhV0,Boy,Major
1/18/21,AB6IX,Stay Young,https://youtu.be/vRNS_H6v8lY,Boy,Major
1/18/21,U-Know,Thank U,https://youtu.be/ylUX9pfdBbs,Boy Solo,Major
1/18/21,Epik High,Based On A True Story ft. HEIZE,https://youtu.be/ZcnnUoyv-hs,Boy,Minor
1/14/21,AleXa,Never Let You Go,https://youtu.be/EZHeXBnwiDM,Girl Solo,Minor
1/14/21,N.O.M,I can't wait,https://youtu.be/qK1YTnBfs-Y,Boy,Major
1/13/21,Youha,Abittipsy,https://youtu.be/u0HpOf0YsYE,Girl Solo,Major
1/13/21,Yubin,Perfume,https://youtu.be/h7C3RyiZfYs,Girl Solo,Major
1/11/21,T1419,ASURABALBALTA,https://youtu.be/AB7kUkLMCqE,Boy,Major
1/11/21,VICTON,What I Said,https://youtu.be/1WVkRRgcymw,Boy,Major
1/11/21,TREASURE,MY TREASURE,https://youtu.be/p9LLoijPQfg,Boy,Major
1/11/21,(G)I-DLE,HWAA,https://youtu.be/z3szNvgQxHo,Girl,Major
1/10/21,Hayeon,Walk Away,https://youtu.be/dqYuw883Umg,Girl Solo,Major
1/9/21,Oneus,Intro : Devil is in the detail,https://youtu.be/0WEMA7BmQ8A,Boy,Minor
1/7/21,KEEMBO,LOVE ME 4 ME,https://youtu.be/K5CAmidr4VI,Girl,Major
1/7/21,MCND,Crush,https://youtu.be/4-4Z21Lar2Y,Boy,Major
1/6/21,Jeong Sewoon,IN THE DARK,https://youtu.be/q-WJz4gt_6w,Boy Solo,Major
1/5/21,Hong Eunki,On & On,https://youtu.be/jnk4JvSGm34,Boy Solo,Major
1/3/21,Baekhyun,Get You Alone,https://youtu.be/uqcZUIUb7fk,Boy Solo,Japanese
1/3/21,I.C.E,Oh My God (Performance Video),https://youtu.be/UFCScjGD4wg,Girl,Special
1/2/21,woo!ah!,I Don't Miss You,https://youtu.be/hPzz4cRxtco,Girl,Major
1/1/21,DALsooobin,Eyes like snow,https://youtu.be/fguA3zGDUEU,Girl Solo,Major
12/31/20,Yerin Baek,"You're so lonely now, so you need me back by your side again",https://youtu.be/U-OlsYhSnEg,Girl Solo,Minor
12/31/20,Rain,Switch to Me (duet with JYP),https://youtu.be/-Bf_BB9iTNI,Boy,Major
12/28/20,D.Ark,Potential,https://youtu.be/VbBQfcphdS8,Boy Solo,Major
12/26/20,Min Kyunghoon & Kim Heechul,Hanryang feat. BIBI,https://youtu.be/FngYpWfdE_w,Boy,Major
12/24/20,Yerin Baek,I'm In Love,https://youtu.be/F95LMvw6Iwc,Girl Solo,Minor
12/24/20,Baek Ayeon,I Need You,https://youtu.be/2wm8bMpqNC8,Girl Solo,Major
12/22/20,Moonbyul,A miracle 3days ago,https://youtu.be/7Ewgm6TMKgE,Girl Solo,Special
12/20/20,Sohlhee,SUPERSiNGLE,https://youtu.be/AOt6Ll3gkCs,Girl Solo,Major
12/15/20,Taeyeon,What Do I Call You,https://youtu.be/5LbFdY6vGsQ,Girl Solo,Major
12/13/20,Yerin Baek,Hate You,https://youtu.be/z19ceDKYAlo,Girl Solo,Major
12/11/20,Onewe,A book in Memory,https://youtu.be/TdaNbo8lm58,Boy,Major
12/9/20,SF9,"My Story, My Song -Japanese ver.-",https://youtu.be/PdPH3u21Dc4,Boy,Japanese
12/9/20,Jun.K,30 Minutes Might Be Too Long,https://youtu.be/EQIYnb3de5s,Boy Solo,Major
12/7/20,The Boyz,Christmassy!,https://youtu.be/dcW47LstjWk,Boy,Special
12/7/20,IZ*ONE,Panorama,https://youtu.be/G8GaQdW2wHc,Girl,Major
12/4/20,NCT,Resonance,https://youtu.be/0IpbvXVbBYA,Boy,Major
12/3/20,1il,Kurt Coba1iL,https://youtu.be/jrEJTUvJYks,Boy Solo,Major
12/3/20,MONSTA X,Love Killa-Japanese ver.-,https://youtu.be/N3zz_mbIMAs,Boy,Japanese
12/2/20,UNVS,The Prologue,https://youtu.be/GstVoIFjgr8,Boy,Minor
12/1/20,Henry,Just Be Me,https://youtu.be/hHuAhAfVuQk,Boy Solo,Major
12/1/20,VANNER,Form,https://youtu.be/AO2hvlrCBwA,Boy,Major
12/1/20,BoA,Better,https://youtu.be/fOxl2OIOVII,Girl Solo,Major
12/1/20,Oneus,Bbuseyo,https://youtu.be/GAWWaoM4aQk,Boy,Major
11/30/20,Park Soyeon,Flower,https://youtu.be/05luBiXMNuE,Girl Solo,Major
11/30/20,ENHYPEN,Given-Taken,https://youtu.be/nQ6wLuYvGd4,Boy,Major
11/30/20,GOT7,Last Piece,https://youtu.be/z1gxHexN5DI,Boy,Major
11/29/20,Kai,Mmmh,https://youtu.be/Fc-fa6cAe2c,Boy Solo,Major
11/28/20,BAE173,Every Little Thing Is You,https://youtu.be/V3_xtddzevE,Boy,Minor
11/27/20,NCT U,Work It,https://youtu.be/Un7choIyl_g,Boy,Major
11/27/20,UP10TION,Destiny,https://youtu.be/UNgQy0MPRWs,Boy,Major
11/26/20,Chungha,Dream of You (with R3HAB),https://youtu.be/K1caxbWpgZA,Girl,Major
11/26/20,Purple Kiss,My Heart Skip a Beat,https://youtu.be/BV9yAHvHfrc,Girl,Special
11/25/20,SUPER JUNIOR-D&E,Wings,https://youtu.be/S2IlLXwu2iI,Boy,Japanese
11/25/20,NiziU,Step and a step,https://youtu.be/a6QT0acJFQE,Girl,Japanese
11/24/20,woo!ah!,Bad Girl,https://youtu.be/xwDmGC2fTfU,Girl,Major
11/23/20,NCT U,90's Love,https://youtu.be/A5H8zBb3iao,Boy,Major
11/23/20,GOT7,Breath,https://youtu.be/g5idjxf4jHI,Boy,Major
11/23/20,KEEMBO,Scene,https://youtu.be/oUMQcbHrItY,Girl,Major
11/19/20,BAE173,Crush On You,https://youtu.be/y7aiL1Q2ePg,Boy,Major
11/19/20,Dreamcatcher,No More,https://youtu.be/HanFwe41w9s,Girl,Japanese
11/19/20,BTS,Life Goes On,https://youtu.be/-5q5mZbe3V8,Boy,Major
11/17/20,WOODZ,BUMP BUMP,https://youtu.be/h1ee4sPdaLI,Boy Solo,Major
11/17/20,CNBLUE,"Then, Now and Forever",https://youtu.be/236ddk-0sOI,Boy,Major
11/17/20,Bling Bling,G.G.B,https://youtu.be/4fXYybUXKqA,Girl,Major
11/17/20,Momoland,Ready or Not,https://youtu.be/MsNH0qBoJQs,Girl,Major
11/17/20,aespa,Black Mamba,https://youtu.be/ZeerrnuLi5E,Girl,Major
11/16/20,SAAY,Player,https://youtu.be/gtLrCRZpToU,Girl Solo,Major
11/16/20,AKMU,Happening,https://youtu.be/wgVyY-snqd4,Co-ed,Major
11/16/20,BTOB 4U,Show Your Love,https://youtu.be/0yhD7WrlzT4,Boy,Major
11/15/20,DRIPPIN,Shine,https://youtu.be/9qzxMsCiV8Y,Boy,Minor
11/12/20,STAYC,So Bad,https://youtu.be/lcRV2gyEfMo,Girl,Major
11/12/20,Natty,Teddy Bear,https://youtu.be/FDAzLvAvrsA,Girl Solo,Major
11/12/20,Oh My Girl,Etoile,https://youtu.be/LcrCu_BfwMo,Girl,Japanese
11/12/20,TXT,We Lost The Summer,https://youtu.be/kwy0nR1_SBQ,Boy,Minor
11/11/20,Lucy,Snooze,https://youtu.be/7ljGIA-if7A,Boy,Major
11/11/20,E'Last,Tears of Chaos,https://youtu.be/4v1NP72wobU,Boy,Major
11/11/20,Jamie,Apollo 11 feat. Jay Park,https://youtu.be/cY6E9Cuaxf0,Girl Solo,Major
11/10/20,TWICE,Better,https://youtu.be/sLmLwgxnPUE,Girl,Japanese
11/10/20,XIA,Pit A Pat,https://youtu.be/How0vM1v4_o,Boy Solo,Major
11/9/20,Taemin,Idea,https://youtu.be/KUvOQlkLNhE,Boy Solo,Major
11/9/20,GFRIEND,Mago,https://youtu.be/LmBYPXGqtss,Girl,Major
11/6/20,PRISMA,Breakout (ver. 2),https://youtu.be/-hV-o0eYXDs,Girl,Major
11/6/20,Wuzocircle,Blitz,https://youtu.be/WJDL1ekExQ8,Boy,Major
11/6/20,Super Junior,The Melody,https://youtu.be/RZrqrinmdks,Boy,Minor
11/6/20,TREASURE,MMM,https://youtu.be/RjbNMogQw8s,Boy,Major
11/5/20,CL,5 STAR,https://youtu.be/JeGhUESd_1o,Girl Solo,Major
11/4/20,Dahye,Bad Blood,https://youtu.be/d8YSuVGvqmk,Girl Solo,Major
